dept_name;state;notFound;notMatched
Union Pacific Railroad Police Department;RR;False;False
Chetopa Police Department;KS;False;False
Gallatin County Sheriff's Department;MT;False;False
Morris Police Department;IL;False;False
Posey County Sheriff's Office;IN;False;False
Bell County Sheriff's Office;TX;False;False
Mount Sterling Police Department;KY;False;False
Claiborne County Sheriff's Department;MS;False;False
Waller County Constable's Office - Precinct 4;TX;False;False
Charleston Police Department;SC;False;False
Lampasas County Sheriff's Department;TX;False;False
Walker County Sheriff's Office;GA;False;False
Whitesboro Police Department;TX;False;False
Douglas County Sheriff's Office;MO;False;False
Rock Island Police Department;IL;False;False
Franklin County Sheriff's Department;TX;False;False
Bastrop County Sheriff's Office;TX;False;False
Chattanooga Police Department;TN;False;False
Taney County Sheriff's Office;MO;False;False
Rockland Police Department;ME;False;False
Westport Marshal's Office;MO;False;False
Pueblo Police Department;CO;False;False
Grayson County Constable's Office - Precinct 2;TX;False;False
Gold Hill Police Department;NV;False;False
Kinney County Sheriff's Office;TX;False;False
Safford Police Department;AZ;False;False
Atchison Police Department;KS;False;False
Clay County Constable's Office - Precinct 4;TX;False;False
Cameron Police Department;MO;False;False
New Bremen Police Department;OH;False;False
Henderson County Sheriff's Department;TX;False;False
Lake Providence Police Department;LA;False;False
Dayton Police Department;OH;False;False
Las Vegas Police Department;NM;False;False
Sherman Police Department;TX;False;False
Carmi Police Department;IL;False;False
Toledo Police Department;OH;False;False
Apache County Sheriff's Office;AZ;False;False
San Miguel County Sheriff's Department;NM;False;False
Adrian Police Department;MI;False;False
Buena Vista Police Department;CO;False;False
Dubuque County Sheriff's Department;IA;False;False
Santa Fe Police Department;NM;False;False
Canfield Police Department;OH;False;False
Kokomo Police Department;CO;False;False
Ennis Police Department;TX;False;False
St. Francois County Sheriff's Office;MO;False;False
Shelby County Sheriff's Department;IN;False;False
Sumner County Sheriff's Office;KS;False;False
Tombstone Marshal's Office;AZ;False;False
Hempstead Police Department;TX;False;False
Allegheny City Police Department;PA;False;False
Ansonia Police Department;CT;False;False
Grand Tower Police Department;IL;False;False
Ocala Police Department;FL;False;False
Holt County Sheriff's Office;NE;False;False
El Paso County Constable's Office - Precinct 1;TX;False;False
Crittenden County Sheriff's Department;AR;False;False
Grayson County Constable's Office - Precinct 7;TX;False;False
Guadalupe County Sheriff's Office;TX;False;False
Cooke County Sheriff's Department;TX;False;False
Stokes County Sheriff's Office;NC;False;False
Greenfield Police Department;MO;False;False
Washington County Sheriff's Department;AR;False;False
Fayetteville Police Department;AR;False;False
Norwich Police Department;CT;False;False
Grayson County Sheriff's Office;TX;False;False
Dunn County Sheriff's Department;WI;False;False
Pepin County Sheriff's Department;WI;False;False
Petersburg High Constable's Office;VA;False;False
Jefferson County Constable's Office;KY;False;False
Tamaroa Police Department;IL;False;False
Lyon County Sheriff's Office;KS;False;False
Silverton Police Department;CO;False;False
Calhoun County Sheriff's Office;IL;False;False
Beaumont Police Department;TX;False;False
McLean County Sheriff's Department;IL;False;False
Seattle Police Department;WA;False;False
Kenton Police Department;OH;False;False
Lansingburgh Police Department;NY;False;False
Malden Marshal's Office;WV;False;False
Starr County Sheriff's Department;TX;False;False
Belton Police Department;TX;False;False
Caldwell Police Department;KS;False;False
Jersey City Police Department;NJ;False;False
Kansas City Police Department;MO;False;False
Wake County Sheriff's Office;NC;False;False
Lake County Sheriff's Department;OR;False;False
San Carlos Apache Tribal Police Department;TR;False;False
Crestline Police Department;OH;False;False
Hinsdale County Sheriff's Office;CO;False;False
Iowa Department of Corrections;IA;False;False
Connellsville City Police Department;PA;False;False
Texas Department of Criminal Justice;TX;False;False
Yavapai County Sheriff's Office;AZ;False;False
St. Paul Police Department;MN;False;False
Laredo Police Department;TX;False;False
Frenchburg Police Department;KY;False;False
Colfax County Sheriff's Department;NM;False;False
Fargo Police Department;ND;False;False
Cochise County Sheriff's Department;AZ;False;False
Oldham County Sheriff's Office;TX;False;False
Indianapolis Police Department;IN;False;False
Fayette County Sheriff's Department;IA;False;False
Hamilton County Sheriff's Department;TN;False;False
Frankfort Police Department;KY;False;False
Custer County Sheriff's Department;MT;False;False
Hitchcock County Sheriff's Department;NE;False;False
Horicon Police Department;WI;False;False
Kerr County Sheriff's Office;TX;False;False
Wilbarger County Sheriff's Department;TX;False;False
Waxahachie Police Department;TX;False;False
Princeton Police Department;KY;False;False
Valley Falls Police Department;KS;False;False
Cowley County Sheriff's Office;KS;False;False
Hartwell Police Department;GA;False;False
Long Island City Police Department;NY;False;False
Crescent City Police Department;LA;False;False
Pima County Sheriff's Department;AZ;False;False
Salida Police Department;CO;False;False
Lynchburg Police Department;VA;False;False
Versailles Police Department;KY;False;False
Green County Sheriff's Office;KY;False;False
El Paso Police Department;TX;False;False
Wellington Police Department;OH;False;False
Frisco Police Department;UT;False;False
Jacksonville Police Department;TX;False;False
Bath Police Department;ME;False;False
Danville Police Department;VA;False;False
Huntsville Police Department;AL;False;False
Sadieville Police Department;KY;False;False
Valdosta Police Department;GA;False;False
Lee County Sheriff's Department;TX;False;False
Morganfield Police Department;KY;False;False
Wapello County Sheriff's Office;IA;False;False
Taylor County Sheriff's Department;TX;False;False
Houston County Sheriff's Department;TX;False;False
Opelika Police Department;AL;False;False
Dona Ana County Sheriff's Department;NM;False;False
Floyd County Constable's Office;VA;False;False
Wise County Sheriff's Office;TX;False;False
Richmond Police Department;IN;False;False
Cochise County Constable's Office - Tombstone Justice Court;AZ;False;False
Cheraw Police Department;SC;False;False
Wilmington Police Department;OH;False;False
Mitchell Department of Public Safety;SD;False;False
Newport Police Department;RI;False;False
Barry County Sheriff's Office;MI;False;False
Milwaukee Police Department;WI;False;False
Wharton County Sheriff's Department;TX;False;False
Daviess County Detention Center;KY;False;False
Willard Police Department;OH;False;False
Taylor Police Department;TX;False;False
Garfield County Sheriff's Office;CO;False;False
Central Pueblo Marshal's Office;CO;False;False
Minneapolis Police Department;MN;False;False
Fayette County Sheriff's Department;KY;False;False
Franklin Police Department;KY;False;False
