dept_name,state,lat,lng
Merchantville Police Department,NJ,39.9503838,-75.0479726
Mounds Police Department,IL,37.1142176,-89.197853
Will County Sheriff's Office,IL,41.5054724,-88.0900762
Union County Park Police Department,NJ,40.6975898,-74.26316349999999
Westville Police Department,NJ,39.8678912,-75.1315649
Purcell Police Department,OK,35.0136831,-97.3611394
Hayward Police Department,WI,46.0130065,-91.4846208
Miami Constable's Office - District 2,FL,25.7616798,-80.1917902
Connersville Police Department,IN,39.6411589,-85.1410748
Carter County Constable's Office,KY,38.3204714,-83.03613759999999
Chesnee Police Department,SC,35.1484549,-81.8609371
Kilgore Police Department,TX,32.3862619,-94.87577089999999
Gray County Constable's Office - Precinct 2,TX,35.3352558,-100.8903099
Postville Police Department,IA,43.084702,-91.5682015
Batavia Police Department,IL,41.8500284,-88.3125738
Carnegie Borough Police Department,PA,40.4086802,-80.0833885
Nebraska State Patrol,NE,41.4925374,-99.9018131
Seneca Police Department,MO,36.8414565,-94.61105739999999
Crosby County Sheriff's Office,TX,29.9118885,-95.0621512
Searcy County Sheriff's Office,AR,35.2468204,-91.73368459999999
Bernalillo Police Department,NM,35.30004,-106.5511369
Struthers Police Department,OH,41.0525588,-80.6078509
Naples Police Department,FL,26.1420358,-81.7948103
Lind Police Department,WA,46.9720892,-118.6152653
Harrison County Sheriff's Department,OH,40.3340479,-81.1196075
Hillsborough Police Department,CA,37.5741032,-122.3794163
Palatka Police Department,FL,29.6485801,-81.6375819
Texhoma Police Department,OK,36.50502669999999,-101.7829416
Newaygo Police Department,MI,43.4197429,-85.80005059999999
Currituck County Sheriff's Office,NC,36.4189826,-75.94632399999999
Ankeny Police Department,IA,41.7317884,-93.6001278
Shelton Police Department,CT,41.3164856,-73.0931641
Mississippi Department of Public Safety - Bureau of Investigation,MS,32.3546679,-89.3985283
Fairfield Police Department,CT,41.1408363,-73.2612615
Hazen Police Department,AR,34.7809263,-91.5809651
Hialeah Police Department,FL,25.8575963,-80.2781057
Roscoe Police Department,TX,32.445952,-100.5387183
Emmett Police Department,ID,43.8734978,-116.4993012
Alabama Department of Conservation and Natural Resources - Marine Police Division,AL,32.3182314,-86.902298
Clay City Police Department,IN,39.36862199999999,-87.14228949999999
Idaho Department of Fish and Game,ID,44.0682019,-114.7420408
Dixie County Sheriff's Office,FL,29.5207227,-83.1649001
Fort Atkinson Police Department,WI,42.6667678,-90.7304556
Larimer County Sheriff's Office,CO,40.6955572,-105.5943388
